"   ","GPMS_ID","REGION","COUNTRY"
"284","001250","US","US"
"285","004757","US","US"
"286","000685","US","US"
"287","100457","CA","CA"
"288","300472","EU","EU"
"289","001866","US","US"
"290","000976","EU","EU"
"291","000714","US","US"
"292","000153","US","US"
"293","001248","US","US"
"294","002761","US","US"
"295","000639","US","US"
"296","000265","US","US"
"297","001158","CA","CA"
"298","002970","US","US"
"299","100378","CA","CA"
"300","001890","US","US"
"301","001606","CA","CA"
"302","300101","EU","EU"
"303","300118","EU","EU"
"304","000619","US","US"
"305","001231","EU","EU"
"306","000117","US","US"
"307","000551","US","US"
"308","002408","US","US"
"309","300353","EU","EU"
"310","300204","EU","EU"
"311","000921","CA","CA"
"312","000102","US","US"
"313","001381","US","US"
"314","000717","US","US"
"315","000939","US","US"
"316","001441","US","US"
"317","000494","US","US"
"318","001137","US","US"
"319","001153","US","US"
"320","000694","US","US"
"321","000470","US","US"
"322","000219","US","US"
"323","000567","US","US"
"324","000116","US","US"
"325","000571","US","US"
"326","000241","US","US"
"327","000243","US","US"
"328","002077","US","US"
"329","001232","EU","EU"
"330","000168","US","US"
"331","001185","US","US"
"332","000198","US","US"
"333","300698","EU","EU"
"334","100505","CA","CA"
"335","001225","US","US"
"336","000248","US","US"
"337","003911","US","US"
"338","300519","EU","EU"
"339","001183","US","US"
"340","001134","US","US"
"341","000417","US","US"
"342","000748","US","US"
"343","001498","US","US"
"344","000459","US","US"
"345","100200","CA","CA"
"346","002340","US","US"
"347","004755","US","US"
"348","000952","US","US"
"349","300550","EU","EU"
"350","000955","US","US"
"351","300173","EU","EU"
"352","300562","EU","EU"
"353","000608","US","US"
"354","300247","EU","EU"
"355","000104","US","US"
"356","001781","US","US"
"357","100221","CA","CA"
"358","000707","US","US"
"359","000480","US","US"
"360","000193","US","US"
"361","100521","CA","CA"
"362","001287","US","US"
"363","000435","US","US"
"364","100462","CA","CA"
"365","300787","EU","EU"
"366","301148","US","US"
"367","002991","US","US"
"368","100100","CA","CA"
"369","000667","US","US"
"370","000953","US","US"
"371","100111","CA","CA"
"372","004828","US","US"
"373","003845","US","US"
"374","004798","US","US"
"375","000638","US","US"
"376","001063","US","US"
"377","002020","US","US"
"378","003879","US","US"
"379","100453","CA","CA"
"380","000711","US","US"
"381","000582","US","US"
"382","300329","EU","EU"
"383","001420","US","US"
"384","100232","CA","CA"
"385","001157","US","US"
"386","000705","US","US"
"387","001776","EU","EU"
"388","002580","EU","EU"
"389","100657","CA","CA"
"390","001139","US","US"
"391","001775","EU","EU"
"392","000492","US","US"
"393","000465","US","US"
"394","000768","US","US"
"395","000220","US","US"
"396","001073","US","US"
"397","001376","US","US"
"398","000512","US","US"
"399","000525","US","US"
"400","000900","US","US"
"401","001673","US","US"
"402","000643","US","US"
"403","001732","US","US"
"404","000312","US","US"
"405","002147","EU","EU"
"406","001127","US","US"
"407","003832","US","US"
"408","300548","EU","EU"
"409","000526","US","US"
"410","300531","EU","EU"
"411","000732","US","US"
"412","001122","US","US"
"413","000111","US","US"
"414","001233","CA","CA"
"415","001320","EU","EU"
"416","300216","EU","EU"
"417","002308","US","US"
"418","002934","US","US"
"419","000513","US","US"
"420","100502","CA","CA"
"421","000539","US","US"
"422","100706","CA","CA"
"423","000510","US","US"
"424","100664","CA","CA"
"425","100530","CA","CA"
"426","000644","US","US"
"427","003175","US","US"
"428","004797","US","US"
"429","000338","US","US"
"430","100419","CA","CA"
"431","004706","US","US"
"432","000498","US","US"
"433","000554","US","US"
"434","304494","US","US"
"435","000962","US","US"
"436","000690","US","US"
"437","000529","US","US"
"438","002022","US","US"
"439","300566","EU","EU"
"440","001415","US","US"
"441","000601","US","US"
"442","000487","US","US"
"443","300316","EU","EU"
"444","000981","US","US"
"445","000464","US","US"
"446","001645","US","US"
"447","000729","US","US"
"448","003839","US","US"
"449","000452","US","US"
"450","001130","EU","EU"
"451","004690","US","US"
"452","001095","US","US"
"453","300308","EU","EU"
"454","000142","US","US"
"455","001474","US","US"
"456","000387","US","US"
"457","002528","EU","EU"
"458","100543","CA","CA"
"459","002320","US","US"
"460","002974","US","US"
"461","100450","CA","CA"
"462","003869","US","US"
"463","001894","US","US"
"464","300184","EU","EU"
"465","300779","CA","CA"
"466","000221","US","US"
"467","000178","US","US"
"468","300898","CA","CA"
"469","001453","US","US"
"470","002400","US","US"
"471","000954","US","US"
"472","300784","EU","EU"
"473","304492","US","US"
"474","000642","US","US"
"475","002602","US","US"
"476","001649","US","US"
"477","001121","US","US"
"478","000987","EU","EU"
"479","001143","US","US"
"480","002080","US","US"
"481","100389","CA","CA"
"482","001475","US","US"
"483","003905","US","US"
"484","100310","CA","CA"
"485","003890","US","US"
"486","000366","US","US"
"487","000164","US","US"
"488","001132","US","US"
"489","300889","US","US"
"490","300762","US","US"
"491","001623","EU","EU"
"492","000319","US","US"
"493","000602","US","US"
"494","000110","US","US"
"495","300560","EU","EU"
